description,result,quarter,x_loc,y_loc,ball_handler
Chris Paul makes 13-foot two point shot,made,3,7.777777777777778,12,Paul
Blake Griffin makes 18-foot jumper (Chris Paul assists),made,3,22.22222222222222,16,Griffin
J.J. Redick makes 25-foot  three point jumper  (Blake Griffin assists),made,3,20,5,Redick
J.J. Redick  misses 25-foot three point jumper,missed,3,32.22222222222222,28,Redick
J.J. Redick makes 24-foot  three point jumper  (Lance Stephenson assists),made,3,15.555555555555555,3,Redick
Chris Paul makes 14-foot two point shot,made,3,17.77777777777778,32,Paul
Chris Paul  misses 25-foot three point jumper,missed,3,26.666666666666668,10,Paul
Blake Griffin  misses alley oop dunk shot,missed,3,4.444444444444445,25,Griffin
Blake Griffin  misses 12-foot turnaround fadeaway shot,missed,3,10,36,Griffin
Lance Stephenson makes 24-foot  three point jumper  (Pablo Prigioni assists),made,3,13.333333333333334,2,Stephenson
Blake Griffin  misses 20-foot jumper,missed,3,16.666666666666664,8,Griffin
Jamal Crawford makes 25-foot  three point jumper  (DeAndre Jordan assists),made,3,32.22222222222222,21.999999999999996,Crawford
Paul Pierce  misses 26-foot three point jumper,missed,3,30,13,Pierce
Lance Stephenson  misses driving layup,missed,4,4.444444444444445,25,Stephenson
Brandon Bass blocks Paul Pierce 's 2-foot  shot,missed,4,5.555555555555555,26,Bass
D'Angelo Russell blocks Jamal Crawford 's 3-foot  layup,missed,4,5.555555555555555,21.999999999999996,Russell
Paul Pierce makes jumper (Pablo Prigioni assists),made,4,3.3333333333333335,8,Pierce
Lance Stephenson  misses 16-foot jumper,missed,4,5.555555555555555,9,Stephenson
Jamal Crawford  misses 17-foot jumper,missed,4,18.88888888888889,14,Crawford
Jamal Crawford  misses 19-foot two point jumper,missed,4,25.555555555555554,23,Crawford
Wesley Johnson makes 21-foot jumper (Blake Griffin assists),made,4,13.333333333333334,45,Johnson
Wesley Johnson  misses 24-foot three point jumper,missed,4,6.666666666666667,48,Johnson
Chris Paul  misses 7-foot two point shot,missed,4,8.88888888888889,19,Paul
Blake Griffin  misses 20-foot jumper,missed,4,23.333333333333332,36,Griffin
Wesley Johnson makes 25-foot  three point jumper  (Blake Griffin assists),made,4,5.555555555555555,48,Johnson
Chris Paul  misses layup,missed,4,4.444444444444445,27,Paul
J.J. Redick  misses 24-foot three point jumper,missed,4,6.666666666666667,48,Redick
Chris Paul makes 16-foot two point shot,made,4,15.555555555555555,12,Paul
Chris Paul  misses 13-foot,missed,4,14.444444444444443,34,Paul
Blake Griffin  misses 26-foot three point jumper,missed,4,28.888888888888886,39,Griffin
